chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name
CHEMBL1078998,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1cccs1)N2,C20H25NOS,20.0,7.7,Antiproliferative activity against human HCT116 cells after 48 hrs by crystal violet staining assay,HCT-116
CHEMBL1084115,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccsc1)N2,C20H25NOS,130.0,6.89,Antiproliferative activity against human HCT116 cells after 48 hrs by crystal violet staining assay,HCT-116
CHEMBL1084116,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(Cl)s1)N2,C20H24ClNOS,880.0,6.06,Antiproliferative activity against human HCT116 cells after 48 hrs by crystal violet staining assay,HCT-116
CHEMBL1084391,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1nccs1)N2,C19H24N2OS,1600.0,5.8,Antiproliferative activity against human HCT116 cells after 48 hrs by crystal violet staining assay,HCT-116
CHEMBL1077227,CNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1cccs1,C22H30N2OS,5.0,8.3,Antiproliferative activity against human HCT116 cells after 48 hrs by crystal violet staining assay,HCT-116
CHEMBL98369,CN1C/C(=C\c2cccs2)C(=O)/C(=C/c2cccs2)C1,C16H15NOS2,85000.0,4.07,Cytotoxicity against human Scov3 cells after 72 hrs by MTT assay,SK-OV-3
CHEMBL98369,CN1C/C(=C\c2cccs2)C(=O)/C(=C/c2cccs2)C1,C16H15NOS2,80000.0,4.1,Cytotoxicity against human A549 cells after 72 hrs by MTT assay,A549
CHEMBL1080185,Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(C=O)s2)n1,C17H13N5OS,1540.0,5.81,Cytotoxicity against human SK-LU-1 cells after 48 hrs by SRB assay,SK-LU-1
CHEMBL1080185,Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(C=O)s2)n1,C17H13N5OS,4270.0,5.37,Cytotoxicity against human MCF7 cells after 48 hrs by SRB assay,MCF7
CHEMBL1078568,CC1=NC2=CC=C3CC=CC(=O)C3N2S1,C11H10N2OS,500000.0,,Cytotoxicity against human THP1 cells after 72 hrs by propidium iodide staining-based flow cytometry,THP-1
CHEMBL1078770,O=c1cc[nH]c2c(-c3nc4ccccc4s3)cccc12,C16H10N2OS,500000.0,,Cytotoxicity against human THP1 cells after 72 hrs by propidium iodide staining-based flow cytometry,THP-1
CHEMBL1078847,Cc1nc2ccc3c(c(=O)ccn3C)c2s1,C12H10N2OS,115000.0,,Cytotoxicity against human THP1 cells after 72 hrs by propidium iodide staining-based flow cytometry,THP-1
CHEMBL1093354,CCn1ncc2c(Cl)c(C(=O)NCc3cncs3)cnc21,C13H12ClN5OS,6309.57,,Antagonist activity at glucocorticoid receptor expressed in human A549 cells assessed as inhibition of cortisol-induced renilla luciferase transactivation activity,Glucocorticoid receptor
CHEMBL1098925,COc1ccc(C)cc1NC(=S)N/N=C/c1ccc2ccccc2n1,C19H18N4OS,100000.0,,Antiproliferative activity against human HT-29 cells after 72 hrs by sulforhodamine B assay,HT-29
CHEMBL1094608,COc1ccccc1NC(=S)N/N=C/c1ccc2ccccc2n1,C18H16N4OS,100000.0,,Antiproliferative activity against human HT-29 cells after 72 hrs by sulforhodamine B assay,HT-29
CHEMBL1098925,COc1ccc(C)cc1NC(=S)N/N=C/c1ccc2ccccc2n1,C19H18N4OS,100000.0,,Antiproliferative activity against human HeLa cells after 72 hrs by sulforhodamine B assay,HeLa
