chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name
CHEMBL1165174,N#Cc1c(-c2ccccc2)nc(SCc2nc3ccccc3[nH]2)nc1N1CCN(C(=O)Cc2ccccc2)CC1,C31H27N7OS,2.6,8.59,Cytotoxicity against human SF268 cells after 3 days by MTT assay,SF-268
CHEMBL1165174,N#Cc1c(-c2ccccc2)nc(SCc2nc3ccccc3[nH]2)nc1N1CCN(C(=O)Cc2ccccc2)CC1,C31H27N7OS,2.4,8.62,Cytotoxicity against human NCI-H460 cells after 3 days by MTT assay,NCI-H460
CHEMBL1165174,N#Cc1c(-c2ccccc2)nc(SCc2nc3ccccc3[nH]2)nc1N1CCN(C(=O)Cc2ccccc2)CC1,C31H27N7OS,4.23,8.37,Cytotoxicity against human HL60 cells after 3 days by MTT assay,HL-60
CHEMBL1165174,N#Cc1c(-c2ccccc2)nc(SCc2nc3ccccc3[nH]2)nc1N1CCN(C(=O)Cc2ccccc2)CC1,C31H27N7OS,2.77,8.56,Cytotoxicity against human U937 cells after 3 days by MTT assay,U-937
CHEMBL1165174,N#Cc1c(-c2ccccc2)nc(SCc2nc3ccccc3[nH]2)nc1N1CCN(C(=O)Cc2ccccc2)CC1,C31H27N7OS,11.3,7.95,Cytotoxicity against human K562 cells after 3 days by MTT assay,K562
CHEMBL1165174,N#Cc1c(-c2ccccc2)nc(SCc2nc3ccccc3[nH]2)nc1N1CCN(C(=O)Cc2ccccc2)CC1,C31H27N7OS,3.37,8.47,Cytotoxicity against human G361 cells after 3 days by MTT assay,G-361
CHEMBL1165174,N#Cc1c(-c2ccccc2)nc(SCc2nc3ccccc3[nH]2)nc1N1CCN(C(=O)Cc2ccccc2)CC1,C31H27N7OS,3.37,8.47,Cytotoxicity against human SK-MEL-28 cells after 3 days by MTT assay,SK-MEL-28
CHEMBL1165174,N#Cc1c(-c2ccccc2)nc(SCc2nc3ccccc3[nH]2)nc1N1CCN(C(=O)Cc2ccccc2)CC1,C31H27N7OS,8.9,8.05,Cytotoxicity against human GOTO cells after 3 days by MTT assay,GOTO
CHEMBL1165174,N#Cc1c(-c2ccccc2)nc(SCc2nc3ccccc3[nH]2)nc1N1CCN(C(=O)Cc2ccccc2)CC1,C31H27N7OS,4.54,8.34,Cytotoxicity against human NB-1 cells after 3 days by MTT assay,NB1
CHEMBL1165176,Cl.N=c1[nH]c(=O)[nH]c2nc(SCc3nc4ccccc4[nH]3)nc(-c3ccccc3)c12,C20H16ClN7OS,2.5,8.6,Cytotoxicity against human KB cells after 3 days by MTT assay,KB
CHEMBL1165176,Cl.N=c1[nH]c(=O)[nH]c2nc(SCc3nc4ccccc4[nH]3)nc(-c3ccccc3)c12,C20H16ClN7OS,3.2,8.49,Cytotoxicity against human SKOV3 cells after 3 days by MTT assay,SK-OV-3
CHEMBL1165176,Cl.N=c1[nH]c(=O)[nH]c2nc(SCc3nc4ccccc4[nH]3)nc(-c3ccccc3)c12,C20H16ClN7OS,2.84,8.55,Cytotoxicity against human SF268 cells after 3 days by MTT assay,SF-268
