chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name,inchi,inchi_key
CHEMBL320447,,C7H16Cl2N2Pt,4200.0,5.38,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL320447,,C7H16Cl2N2Pt,10000.0,5.0,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL320447,,C7H16Cl2N2Pt,2400.0,5.62,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL320447,,C7H16Cl2N2Pt,1700.0,5.77,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL320447,,C7H16Cl2N2Pt,4300.0,5.37,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL320447,,C7H16Cl2N2Pt,4700.0,5.33,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL320447,,C7H16Cl2N2Pt,1300.0,5.89,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL320447,,C7H16Cl2N2Pt,4600.0,5.34,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL322197,,C7H16Cl4N2Pt,23000.0,4.64,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL322197,,C7H16Cl4N2Pt,29000.0,4.54,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL322197,,C7H16Cl4N2Pt,16500.0,4.78,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL322197,,C7H16Cl4N2Pt,16000.0,4.8,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL322197,,C7H16Cl4N2Pt,15500.0,4.81,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL322197,,C7H16Cl4N2Pt,15500.0,4.81,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL322197,,C7H16Cl4N2Pt,14000.0,4.85,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL322197,,C7H16Cl4N2Pt,16000.0,4.8,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL103570,,C6H16Cl2N2O2Pt,4400.0,5.36,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL103570,,C6H16Cl2N2O2Pt,6000.0,5.22,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL103570,,C6H16Cl2N2O2Pt,1300.0,5.89,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL103570,,C6H16Cl2N2O2Pt,1400.0,5.85,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL103570,,C6H16Cl2N2O2Pt,1100.0,5.96,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL103570,,C6H16Cl2N2O2Pt,2100.0,5.68,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL103570,,C6H16Cl2N2O2Pt,420.0,6.38,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL103570,,C6H16Cl2N2O2Pt,3000.0,5.52,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL321068,,C3H12Cl2N2O2Pt,14000.0,4.85,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL321068,,C3H12Cl2N2O2Pt,9200.0,5.04,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL321068,,C3H12Cl2N2O2Pt,3200.0,5.5,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL321068,,C3H12Cl2N2O2Pt,4600.0,5.34,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL321068,,C3H12Cl2N2O2Pt,2400.0,5.62,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL321068,,C3H12Cl2N2O2Pt,5500.0,5.26,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL321068,,C3H12Cl2N2O2Pt,540.0,6.27,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL321068,,C3H12Cl2N2O2Pt,4700.0,5.33,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL317447,,C2H10Cl2N2O2Pt,42000.0,4.38,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL317447,,C2H10Cl2N2O2Pt,45000.0,4.35,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL317447,,C2H10Cl2N2O2Pt,9400.0,5.03,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL317447,,C2H10Cl2N2O2Pt,13300.0,4.88,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL317447,,C2H10Cl2N2O2Pt,10300.0,4.99,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL317447,,C2H10Cl2N2O2Pt,14000.0,4.85,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL317447,,C2H10Cl2N2O2Pt,4500.0,5.35,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL317447,,C2H10Cl2N2O2Pt,26500.0,4.58,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL2068304,,C30H36Cl2N2O2Pt,64000.0,4.19,In vitro inhibition of estrogen receptor positive MCF-7 human mammary carcinoma cell proliferation,MCF7,,
CHEMBL2068304,,C30H36Cl2N2O2Pt,32000.0,4.5,In vitro inhibition of estrogen receptor negative MDA-MD-231 human mammary carcinoma cell proliferation,MDA-MB-231,,
CHEMBL2068444,,C32H40Cl2N2O2Pt,56000.0,4.25,In vitro inhibition of estrogen receptor positive MCF-7 human mammary carcinoma cell proliferation,MCF7,,
CHEMBL2068444,,C32H40Cl2N2O2Pt,29000.0,4.54,In vitro inhibition of estrogen receptor negative MDA-MD-231 human mammary carcinoma cell proliferation,MDA-MB-231,,
CHEMBL2068294,,C35H46Cl2N2O3Pt,67000.0,4.17,In vitro inhibition of estrogen receptor positive MCF-7 human mammary carcinoma cell proliferation,MCF7,,
CHEMBL2068294,,C35H46Cl2N2O3Pt,18000.0,4.75,In vitro inhibition of estrogen receptor negative MDA-MD-231 human mammary carcinoma cell proliferation,MDA-MB-231,,
CHEMBL2068291,,C37H50Cl2N2O3Pt,15000.0,4.82,In vitro inhibition of estrogen receptor positive MCF-7 human mammary carcinoma cell proliferation,MCF7,,
CHEMBL2068291,,C37H50Cl2N2O3Pt,4300.0,5.37,In vitro inhibition of estrogen receptor negative MDA-MD-231 human mammary carcinoma cell proliferation,MDA-MB-231,,
CHEMBL11359,,H6Cl2N2Pt+2,3000.0,5.52,In vitro inhibition of estrogen receptor positive MCF-7 human mammary carcinoma cell proliferation,MCF7,,
CHEMBL11359,,H6Cl2N2Pt+2,3400.0,5.47,In vitro inhibition of estrogen receptor negative MDA-MD-231 human mammary carcinoma cell proliferation,MDA-MB-231,,
CHEMBL432005,,C10H20Cl2N2O4Pt,3100.0,5.51,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL432005,,C10H20Cl2N2O4Pt,4800.0,5.32,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL432005,,C10H20Cl2N2O4Pt,1300.0,5.89,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL432005,,C10H20Cl2N2O4Pt,1200.0,5.92,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL432005,,C10H20Cl2N2O4Pt,1100.0,5.96,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL432005,,C10H20Cl2N2O4Pt,1500.0,5.82,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL432005,,C10H20Cl2N2O4Pt,300.0,6.52,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL432005,,C10H20Cl2N2O4Pt,3000.0,5.52,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL2068301,,C32H40Cl2N2Pt,4900.0,5.31,In vitro inhibition of estrogen receptor positive MCF-7 human mammary carcinoma cell proliferation,MCF7,,
CHEMBL2068301,,C32H40Cl2N2Pt,1200.0,5.92,In vitro inhibition of estrogen receptor negative MDA-MD-231 human mammary carcinoma cell proliferation,MDA-MB-231,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,12500.0,4.9,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,13500.0,4.87,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,5500.0,5.26,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,4300.0,5.37,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,4800.0,5.32,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,4800.0,5.32,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,2700.0,5.57,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,5700.0,5.24,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL105222,,C7H18Cl2N2O2Pt,40000.0,4.4,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL105222,,C7H18Cl2N2O2Pt,27000.0,4.57,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL105222,,C7H18Cl2N2O2Pt,14400.0,4.84,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL105222,,C7H18Cl2N2O2Pt,9500.0,5.02,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL105222,,C7H18Cl2N2O2Pt,10200.0,4.99,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL105222,,C7H18Cl2N2O2Pt,14300.0,4.84,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL105222,,C7H18Cl2N2O2Pt,3200.0,5.5,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL105222,,C7H18Cl2N2O2Pt,16000.0,4.8,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL102583,,C7H18Cl2N2O2Pt,4100.0,5.39,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL102583,,C7H18Cl2N2O2Pt,6900.0,5.16,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL102583,,C7H18Cl2N2O2Pt,2300.0,5.64,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL102583,,C7H18Cl2N2O2Pt,1600.0,5.8,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL102583,,C7H18Cl2N2O2Pt,1300.0,5.89,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL102583,,C7H18Cl2N2O2Pt,2900.0,5.54,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL102583,,C7H18Cl2N2O2Pt,1300.0,5.89,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL102583,,C7H18Cl2N2O2Pt,5000.0,5.3,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL103516,,C5H7Cl4N2Pt+,11000.0,4.96,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL103516,,C5H7Cl4N2Pt+,14500.0,4.84,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL103516,,C5H7Cl4N2Pt+,5300.0,5.28,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL103516,,C5H7Cl4N2Pt+,4100.0,5.39,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL103516,,C5H7Cl4N2Pt+,4700.0,5.33,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL103516,,C5H7Cl4N2Pt+,4800.0,5.32,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL103516,,C5H7Cl4N2Pt+,3200.0,5.5,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL103516,,C5H7Cl4N2Pt+,5600.0,5.25,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL2068305,,C30H36Cl2N2Pt,4300.0,5.37,In vitro inhibition of estrogen receptor positive MCF-7 human mammary carcinoma cell proliferation,MCF7,,
CHEMBL2068305,,C30H36Cl2N2Pt,1600.0,5.8,In vitro inhibition of estrogen receptor negative MDA-MD-231 human mammary carcinoma cell proliferation,MDA-MB-231,,
CHEMBL102282,,CH8Cl2N2O2Pt,110000.0,,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL102282,,CH8Cl2N2O2Pt,72000.0,4.14,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL102282,,CH8Cl2N2O2Pt,5400.0,5.27,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL102282,,CH8Cl2N2O2Pt,33000.0,4.48,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL102282,,CH8Cl2N2O2Pt,12500.0,4.9,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL102282,,CH8Cl2N2O2Pt,30500.0,4.52,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL102282,,CH8Cl2N2O2Pt,6200.0,5.21,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL102282,,CH8Cl2N2O2Pt,64000.0,4.19,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL103460,,C6H16Br2N2O2Pt,3200.0,5.5,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL103460,,C6H16Br2N2O2Pt,4700.0,5.33,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL103460,,C6H16Br2N2O2Pt,2100.0,5.68,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL103460,,C6H16Br2N2O2Pt,1700.0,5.77,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL103460,,C6H16Br2N2O2Pt,1600.0,5.8,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL103460,,C6H16Br2N2O2Pt,2800.0,5.55,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL103460,,C6H16Br2N2O2Pt,1400.0,5.85,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL103460,,C6H16Br2N2O2Pt,3600.0,5.44,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL104893,,C6H14Cl2N2Pt,2000.0,5.7,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL104893,,C6H14Cl2N2Pt,2100.0,5.68,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL104893,,C6H14Cl2N2Pt,260.0,6.58,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL104893,,C6H14Cl2N2Pt,280.0,6.55,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL104893,,C6H14Cl2N2Pt,66.0,7.18,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL104893,,C6H14Cl2N2Pt,380.0,6.42,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL104893,,C6H14Cl2N2Pt,83.0,7.08,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL104893,,C6H14Cl2N2Pt,400.0,6.4,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL102644,,C6H14Br2N2Pt,10900.0,4.96,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL102644,,C6H14Br2N2Pt,11500.0,4.94,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL102644,,C6H14Br2N2Pt,4000.0,5.4,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL102644,,C6H14Br2N2Pt,3200.0,5.5,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL102644,,C6H14Br2N2Pt,4000.0,5.4,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL102644,,C6H14Br2N2Pt,5000.0,5.3,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL102644,,C6H14Br2N2Pt,1900.0,5.72,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL102644,,C6H14Br2N2Pt,5400.0,5.27,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL103347,,C7H14Cl2N2Pt,5600.0,5.25,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL103347,,C7H14Cl2N2Pt,4400.0,5.36,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL103347,,C7H14Cl2N2Pt,1400.0,5.85,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL103347,,C7H14Cl2N2Pt,1500.0,5.82,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL103347,,C7H14Cl2N2Pt,1400.0,5.85,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL103347,,C7H14Cl2N2Pt,1700.0,5.77,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL103347,,C7H14Cl2N2Pt,250.0,6.6,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL103347,,C7H14Cl2N2Pt,3000.0,5.52,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL103122,,C7H12Cl2N2O2Pt,10200.0,4.99,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL103122,,C7H12Cl2N2O2Pt,8200.0,5.09,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL103122,,C7H12Cl2N2O2Pt,1300.0,5.89,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL103122,,C7H12Cl2N2O2Pt,1300.0,5.89,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL103122,,C7H12Cl2N2O2Pt,1100.0,5.96,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL103122,,C7H12Cl2N2O2Pt,1900.0,5.72,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL103122,,C7H12Cl2N2O2Pt,1100.0,5.96,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL103122,,C7H12Cl2N2O2Pt,4200.0,5.38,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,14200.0,4.85,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,10300.0,4.99,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,4600.0,5.34,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,4400.0,5.36,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,3700.0,5.43,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,5400.0,5.27,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,1900.0,5.72,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL321094,,C5H9Cl2N2O2Pt+,6400.0,5.19,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL319686,,C12H26Cl2N2O2Pt,6900.0,5.16,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL319686,,C12H26Cl2N2O2Pt,2500.0,5.6,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL319686,,C12H26Cl2N2O2Pt,800.0,6.1,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL319686,,C12H26Cl2N2O2Pt,1200.0,5.92,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL319686,,C12H26Cl2N2O2Pt,550.0,6.26,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL319686,,C12H26Cl2N2O2Pt,600.0,6.22,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL319686,,C12H26Cl2N2O2Pt,800.0,6.1,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL319686,,C12H26Cl2N2O2Pt,3200.0,5.5,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL2068561,,C34H44Cl2N2O2Pt,52000.0,4.28,In vitro inhibition of estrogen receptor positive MCF-7 human mammary carcinoma cell proliferation,MCF7,,
CHEMBL2068561,,C34H44Cl2N2O2Pt,29000.0,4.54,In vitro inhibition of estrogen receptor negative MDA-MD-231 human mammary carcinoma cell proliferation,MDA-MB-231,,
CHEMBL320638,,C10H22Cl2N2Pt,800.0,6.1,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL320638,,C10H22Cl2N2Pt,1500.0,5.82,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL320638,,C10H22Cl2N2Pt,490.0,6.31,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL320638,,C10H22Cl2N2Pt,1200.0,5.92,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL320638,,C10H22Cl2N2Pt,210.0,6.68,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL320638,,C10H22Cl2N2Pt,430.0,6.37,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL320638,,C10H22Cl2N2Pt,400.0,6.4,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL320638,,C10H22Cl2N2Pt,1400.0,5.85,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL102856,,C4H12Cl2N2O3Pt,100000.0,4.0,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL102856,,C4H12Cl2N2O3Pt,47000.0,4.33,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL102856,,C4H12Cl2N2O3Pt,26000.0,4.58,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL102856,,C4H12Cl2N2O3Pt,54000.0,4.27,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL102856,,C4H12Cl2N2O3Pt,17300.0,4.76,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL102856,,C4H12Cl2N2O3Pt,28300.0,4.55,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL102856,,C4H12Cl2N2O3Pt,10900.0,4.96,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL102856,,C4H12Cl2N2O3Pt,47000.0,4.33,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL322013,,C7H18Cl2N2O2Pt,3400.0,5.47,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL322013,,C7H18Cl2N2O2Pt,3900.0,5.41,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL322013,,C7H18Cl2N2O2Pt,1300.0,5.89,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL322013,,C7H18Cl2N2O2Pt,1400.0,5.85,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL322013,,C7H18Cl2N2O2Pt,1100.0,5.96,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL322013,,C7H18Cl2N2O2Pt,1700.0,5.77,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL322013,,C7H18Cl2N2O2Pt,610.0,6.21,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL322013,,C7H18Cl2N2O2Pt,2500.0,5.6,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL103570,,C6H16Cl2N2O2Pt,30000.0,4.52,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL103570,,C6H16Cl2N2O2Pt,16600.0,4.78,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL103570,,C6H16Cl2N2O2Pt,3500.0,5.46,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL103570,,C6H16Cl2N2O2Pt,3200.0,5.5,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL103570,,C6H16Cl2N2O2Pt,570.0,6.24,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL103570,,C6H16Cl2N2O2Pt,2000.0,5.7,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL103570,,C6H16Cl2N2O2Pt,800.0,6.1,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL103570,,C6H16Cl2N2O2Pt,1900.0,5.72,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL321068,,C3H12Cl2N2O2Pt,50000.0,4.3,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL321068,,C3H12Cl2N2O2Pt,30500.0,4.52,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL321068,,C3H12Cl2N2O2Pt,3900.0,5.41,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL321068,,C3H12Cl2N2O2Pt,9200.0,5.04,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL321068,,C3H12Cl2N2O2Pt,1400.0,5.85,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL321068,,C3H12Cl2N2O2Pt,4900.0,5.31,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL321068,,C3H12Cl2N2O2Pt,990.0,6.0,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL321068,,C3H12Cl2N2O2Pt,7200.0,5.14,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL103345,,C4H14Cl2N2O2Pt,50000.0,4.3,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL103345,,C4H14Cl2N2O2Pt,34000.0,4.47,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL103345,,C4H14Cl2N2O2Pt,4500.0,5.35,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL103345,,C4H14Cl2N2O2Pt,8000.0,5.1,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL103345,,C4H14Cl2N2O2Pt,1100.0,5.96,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL103345,,C4H14Cl2N2O2Pt,3400.0,5.47,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL103345,,C4H14Cl2N2O2Pt,800.0,6.1,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL103345,,C4H14Cl2N2O2Pt,8500.0,5.07,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL103049,,C6H16Cl2N2Pt,4800.0,5.32,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL103049,,C6H16Cl2N2Pt,7100.0,5.15,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
CHEMBL103049,,C6H16Cl2N2Pt,4500.0,5.35,In vitro antitumor activity against 41M cell line.,41M,,
CHEMBL103049,,C6H16Cl2N2Pt,4100.0,5.39,In vitro antitumor activity against 41McisR cell line.,41M,,
CHEMBL103049,,C6H16Cl2N2Pt,4000.0,5.4,In vitro antitumor activity against CH1 cell line.,CH1,,
CHEMBL103049,,C6H16Cl2N2Pt,4400.0,5.36,In vitro antitumor activity against CH1cisR cell line.,CH1,,
CHEMBL103049,,C6H16Cl2N2Pt,2300.0,5.64,In vitro antitumor activity against A2780 cell line.,A2780,,
CHEMBL103049,,C6H16Cl2N2Pt,4800.0,5.32,In vitro antitumor activity against A2780cisR cell line.,A2780,,
CHEMBL103345,,C4H14Cl2N2O2Pt,1800.0,5.75,In vivo antitumor activity against HX/62 cell line.,HX62 cell line,,
CHEMBL103345,,C4H14Cl2N2O2Pt,4700.0,5.33,In vitro antitumor activity against SK-OV-3 cell line.,SK-OV-3,,
