chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name,inchi,inchi_key
CHEMBL19739,,C4H12Cl4N6Pt2,15500.0,4.81,In vitro cytotoxicity against human tumor MCF-7 cell line (breast cancer),MCF7,,
CHEMBL19739,,C4H12Cl4N6Pt2,42500.0,4.37,In vitro cytotoxicity against human tumor EVSA-T cell line (breast cancer),EVSA-T,,
CHEMBL19739,,C4H12Cl4N6Pt2,2000.0,5.7,In vitro cytotoxicity against human tumor WIDR cell line (colon cancer),WiDr,,
CHEMBL19739,,C4H12Cl4N6Pt2,800.0,6.1,In vitro cytotoxicity against human tumor IGROV cell line (ovarian cancer),IGROV-1,,
CHEMBL19739,,C4H12Cl4N6Pt2,21400.0,4.67,In vitro cytotoxicity against human tumor M19 cell line (melanoma cancer),M19-MEL,,
CHEMBL19739,,C4H12Cl4N6Pt2,54100.0,,In vitro cytotoxicity against human tumor A498 cell line (renal cancer),A498,,
CHEMBL19739,,C4H12Cl4N6Pt2,91900.0,,In vitro cytotoxicity against human tumor H226 cell line (nonsmall cell lung cancer),NCI-H226,,
CHEMBL11359,,H6Cl2N2Pt+2,890.0,6.05,In vitro cytotoxicity was tested against human Ovarian carcinoma A2780 cell line,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,3400.0,5.47,In vitro cytotoxicity was tested against human Ovarian carcinoma A2780 cisplatin resistant cell line,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,150.0,6.82,In vitro cytotoxicity was tested against human Ovarian carcinoma CH1 cell line,CH1,,
CHEMBL11359,,H6Cl2N2Pt+2,2400.0,5.62,In vitro cytotoxicity was tested against human Ovarian carcinoma CH1 cisplatin resistant cell line,CH1,,
CHEMBL11359,,H6Cl2N2Pt+2,3400.0,5.47,In vitro cytotoxicity was tested against human Ovarian carcinoma SKOV-3 cell line,SK-OV-3,,
CHEMBL118385,,C12H8AuCl2N2+2,3800.0,5.42,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin in experiment 5,A2780,,
CHEMBL118385,,C12H8AuCl2N2+2,3490.0,5.46,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 5,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,1220.0,5.91,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin in experiment 8,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,14160.0,4.85,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 8,A2780,,
CHEMBL332792,,C10H20AuN4,99000.0,4.0,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin in experiment 2,A2780,,
CHEMBL332792,,C10H20AuN4,120000.0,,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 2,A2780,,
CHEMBL334321,,AuCl4+,11000.0,4.96,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin,A2780,,
CHEMBL326518,,C15H11AuClN3+3,200.0,6.7,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin in experiment 1,A2780,,
CHEMBL326518,,C15H11AuClN3+3,370.0,6.43,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 3,A2780,,
CHEMBL118666,,C4H12AuCl3N4-3,8360.0,5.08,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin in experiment 3,A2780,,
CHEMBL118666,,C4H12AuCl3N4-3,17000.0,4.77,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 3,A2780,,
CHEMBL119215,,C4H10AuClN3,8200.0,5.09,cytotoxic activity toward A2780 ovarian human cell line sensitive (S) to cisplatin in experiment 2,A2780,,
CHEMBL119215,,C4H10AuClN3,18700.0,4.73,cytotoxic activity toward A2780 ovarian human cell line resistant (R) to cisplatin in experiment 3,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,890.0,6.05,The compound was tested for cytotoxic activity against A2780 cell line(human ovarian carcinoma ),A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,3400.0,5.47,The compound was tested for cytotoxic activity against A2780cisR cell line(human ovarian carcinoma ),A2780cisR,,
CHEMBL11359,,H6Cl2N2Pt+2,150.0,6.82,The compound was tested for cytotoxic activity against CH1 cell line(human ovarian carcinoma ),CH1,,
CHEMBL11359,,H6Cl2N2Pt+2,2400.0,5.62,The compound was tested for cytotoxic activity against CH1/Cs cell line(human ovarian carcinoma),CH1,,
CHEMBL11359,,H6Cl2N2Pt+2,3400.0,5.47,The compound was tested for cytotoxic activity against SKOV-3 cell line(human ovarian carcinoma ),SK-OV-3,,
CHEMBL11359,,H6Cl2N2Pt+2,24100.0,4.62,In vitro antitumor activity of compound against AGS cell line (human stomach cancer cells),AGS,,
CHEMBL11359,,H6Cl2N2Pt+2,8370.0,5.08,In vitro antitumor activity of compound against 7404 cell line (human liver carcinoma cells),BEL-7404 tumor cell line,,
CHEMBL11359,,H6Cl2N2Pt+2,18700.0,4.73,In vitro antitumor activity of compound against MCF-7 cell line (human breast cancer cells),MCF7,,
CHEMBL164788,,C14H24Cl2N2O4Pt,3000.0,5.52,Cytotoxicity against chronic myelogenous leukemia K562 tumor cell lines,K562,,
CHEMBL164788,,C14H24Cl2N2O4Pt,2000.0,5.7,Cytotoxicity against chronic myelogenous leukemia KG-1 tumor cell lines,KG-1,,
CHEMBL164788,,C14H24Cl2N2O4Pt,1000.0,6.0,Cytotoxicity against acute myelogenous leukemia ML-2 tumor cell lines,ML-2,,
CHEMBL164788,,C14H24Cl2N2O4Pt,12000.0,4.92,Cytotoxicity against colon cancer HT29N tumor cell lines,HT-29,,
CHEMBL164788,,C14H24Cl2N2O4Pt,8000.0,5.1,Cytotoxicity against colon cancer HT-29 tumor cell lines,HT-29,,
CHEMBL164788,,C14H24Cl2N2O4Pt,9000.0,5.05,Cytotoxicity against colon cancer HCT116 tumor cell lines,HCT-116,,
CHEMBL164788,,C14H24Cl2N2O4Pt,6000.0,5.22,Cytotoxicity against lung carcinoma A427 tumor cell lines,A-427,,
CHEMBL164788,,C14H24Cl2N2O4Pt,6000.0,5.22,Cytotoxicity against breast carcinoma HBL100 tumor cell lines,HBL-100,,
CHEMBL164788,,C14H24Cl2N2O4Pt,8000.0,5.1,Cytotoxicity against breast carcinoma MCF-7 tumor cell lines,MCF7,,
CHEMBL164788,,C14H24Cl2N2O4Pt,25000.0,4.6,Cytotoxicity against lung carcinoma COR-L23/CTR tumor cell lines,COR-L23,,
CHEMBL164788,,C14H24Cl2N2O4Pt,4000.0,5.4,Cytotoxicity against ovarian carcinoma A2780 tumor cell lines,A2780,,
CHEMBL164788,,C14H24Cl2N2O4Pt,3000.0,5.52,Cytotoxicity against ovarian carcinoma A2780/cis tumor cell lines,A2780,,
CHEMBL164788,,C14H24Cl2N2O4Pt,7000.0,5.16,Cytotoxicity against ovarian carcinoma A2780/cis90 tumor cell lines,A2780,,
CHEMBL2068467,,C9H20Cl2N2Pt,18000.0,4.75,Inhibitory concentration was measured on human bladder cell line,Homo sapiens,,
CHEMBL2068332,,H8N4Pt,4000.0,5.4,Inhibitory concentration was measured on human bladder cell line,Homo sapiens,,
CHEMBL11359,,H6Cl2N2Pt+2,80000.0,,Cytotoxicity against chronic myelogenous leukemia K562 tumor cell lines,K562,,
CHEMBL11359,,H6Cl2N2Pt+2,48000.0,4.32,Cytotoxicity against chronic myelogenous leukemia KG-1 tumor cell lines,KG-1,,
CHEMBL11359,,H6Cl2N2Pt+2,80000.0,,Cytotoxicity against acute myelogenous leukemia ML-2 tumor cell lines,ML-2,,
CHEMBL11359,,H6Cl2N2Pt+2,80000.0,,Cytotoxicity against colon cancer HT29N tumor cell lines,HT-29,,
CHEMBL11359,,H6Cl2N2Pt+2,50000.0,4.3,Cytotoxicity against colon cancer HT-29 tumor cell lines,HT-29,,
CHEMBL11359,,H6Cl2N2Pt+2,80000.0,,Cytotoxicity against colon cancer HCT116 tumor cell lines,HCT-116,,
CHEMBL11359,,H6Cl2N2Pt+2,63000.0,4.2,Cytotoxicity against lung carcinoma A427 tumor cell lines,A-427,,
CHEMBL11359,,H6Cl2N2Pt+2,63000.0,4.2,Cytotoxicity against breast carcinoma HBL100 tumor cell lines,HBL-100,,
