"Compound ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"Np Likeness Score";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL1627737";"Estrogen platinum (II) hybrid derivative";"";"Small molecule";"";"774.73";"4";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C32H48Cl2N2O3Pt";"";"";"";"False";"-1";"['2 (n=4, m=2)']";"['Estrogen platinum (II) hybrid derivative']"
"CHEMBL67984";"Gold complex of (Bis(diphenylphosphino)alkane analogue)";"";"Small molecule";"";"911.31";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C30H24Au2Cl2P2";"";"";"";"False";"-1";"['33a']";"['Gold complex of (Bis(diphenylphosphino)alkane analogue)']"
"CHEMBL6963";"(2,2':6',2''-terpyridine)platinum (II) complex";"";"Small molecule";"";"617.98";"6";"25";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C15H13B2F8N4Pt+3";"";"";"";"False";"-1";"['in table I; pg.no.1000', '2 (NH3)']";"["(2,2':6',2''-terpyridine)platinum (II) complex", "2,2':6,2''-Terpyridineplatinum (II) complexes"]"
"CHEMBL103347";"trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)";"";"Small molecule";"";"392.19";"6";"14";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C7H14Cl2N2Pt";"";"";"";"False";"-1";"['30']";"['trans-a-Ammine-b,d-dichloro-c,e-dihydroxo-f-(exo-2-aminonorbornane)-platinium (IV)']"
"CHEMBL150105";"Acetato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)";"";"Small molecule";"";"449.26";"12";"64";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C13H18AuNO4+";"";"";"";"False";"-1";"['3']";"['Acetato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)']"
"CHEMBL1627733";"Estrogen platinum (II) hybrid derivative";"";"Small molecule";"";"746.68";"4";"9";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C30H44Cl2N2O3Pt";"";"";"";"False";"-1";"['2 (n=2, m=2)']";"['Estrogen platinum (II) hybrid derivative']"
"CHEMBL71634";"Gold complex of (Bis(diphenylphosphino)alkane analogue)";"";"Small molecule";"";"859.23";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C26H20Au2Cl2P2";"";"";"";"False";"-1";"['26a']";"['Gold complex of (Bis(diphenylphosphino)alkane analogue)']"
"CHEMBL2146186";"[1-(2-Aminophenyl)-6,7-dimethoxyisoquinoline]dichloroplatinum (II)";"";"Small molecule";"";"546.31";"1";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C17H16Cl2N2O2Pt";"";"";"";"False";"-1";"['15']";"['[1-(2-Aminophenyl)-6,7-dimethoxyisoquinoline]dichloroplatinum (II)']"
"CHEMBL385413";"Platinum complex";"";"Small molecule";"";"1329.80";"3";"8";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C40H28Cl2N12O12Pt2+8";"";"";"";"False";"-1";"['3 (Cl)']";"["4'-chloro-2,2':6,2''-Terpyridineplatinum (II) complexes"]"
"CHEMBL307319";"Auranofin analogue";"";"Small molecule";"";"378.14";"3";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C6H16AuNO3P-2";"";"";"";"False";"-1";"['44']";"['Auranofin analogue']"
"CHEMBL232319";"Gold complex of (Bis(diphenylphosphino)alkane analogue)";"";"Small molecule";"";"904.49";"3";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C32H32Au2O2P2";"";"";"";"False";"-1";"['61a']";"['Gold complex of (Bis(diphenylphosphino)alkane analogue)']"
"CHEMBL5809843";"";"";"";"";"710.10";"1";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C32H58Cl2N2P2Pd";"";"";"";"False";"-1";"['BDBM302439']";"['Azetidin-1-yl[3-(pyrazolo[1,5-a]pyridin-6-yl)imidazo[1,2-b]pyridazin-2-yl]methanone (8)::US9598421, Example 8']"
"CHEMBL103122";"trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)";"";"Small molecule";"";"422.17";"7";"15";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C7H12Cl2N2O2Pt";"";"";"";"False";"-1";"['28']";"['trans-a-Ammine-b,d-dichloro-c,e-dihydroxy-f-(benzylamine)-platinium (IV)']"
"CHEMBL2068430";"Platinum complex";"";"Small molecule";"";"794.50";"2";"6";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C14H11Cl3I2N2O2Pt";"";"";"";"False";"-1";"['1', '8-PtI2']";"['3,5-dichloro-4-[5-(2-chloro-4-hydroxyphenyl)-2,2-diiodo-(4S,5R)-tetrahydro-1H-4-(platinum)imidazolediiumyl]phenol', '[1-Methylamino-2,6-dichloro-4-hydroxy-(1-methylamino-2-chloro-4-hydroxy-phenyl)-phenyl] platium diiodide(ptI2)']"
"CHEMBL102644";"trans-Amminedibromo (cyclohexylamine)-platinium (II)";"Trans-Amminedibromo (cyclohexylamine)-platinium(II)";"Small molecule";"";"469.08";"5";"11";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C6H14Br2N2Pt";"";"";"";"False";"-1";"['17']";"['trans-Amminedibromo (cyclohexylamine)-platinium (II)']"
"CHEMBL312787";"1-(2,3,4-Trimethoxyphenyl)-3-ferrocenyl-2-propen-1-one";"";"Small molecule";"";"406.26";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C22H22FeO4";"";"";"";"False";"-1";"['10']";"['1-(2,3,4-Trimethoxyphenyl)-3-ferrocenyl-2-propen-1-one']"
"CHEMBL319686";"trans-a,f-Dichloro-b,d-bis(cyclohexylamine)-c,e-dihydroxo-platinium (IV)";"";"Small molecule";"";"496.34";"7";"15";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C12H26Cl2N2O2Pt";"";"";"";"False";"-1";"['35']";"['trans-a,f-Dichloro-b,d-bis(cyclohexylamine)-c,e-dihydroxo-platinium (IV)']"
"CHEMBL175635";"Co-Prop";"";"Small molecule";"";"354.09";"4";"8";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C9H16Co2O7";"";"";"";"False";"-1";"['Co-Prop']";"['Co-Prop']"
"CHEMBL280249";"(2-ferrocenyl)-carbamic acid 3-(1H-imidazol-4-yl)-propylester";"";"Small molecule";"";"367.23";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C18H21FeN3O2+2";"";"";"";"False";"-1";"['30']";"['(2-ferrocenyl)-carbamic acid 3-(1H-imidazol-4-yl)-propylester: C4H4O40.25H2O']"
