chembl_id,chemical_formula,pIC50,count_C,count_H,count_N,count_O,count_S,count_Cl,count_Br,count_F,count_I,metal_mass,metal_ionic_radius,metal_electronegativity,expected_coordination_num,is_Ruthenium,is_Rhodium,is_Platinum,unsaturation_index,N_C_ratio,O_C_ratio,calculated_molecular_weight
CHEMBL103347,C7H14Cl2N2Pt,6.6,7,14,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,2.0,0.2857142857142857,0.0,392.187
CHEMBL103347,C7H14Cl2N2Pt,5.52,7,14,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,2.0,0.2857142857142857,0.0,392.187
CHEMBL103460,C6H16Br2N2O2Pt,5.5,6,16,2,2,0,0,2,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,503.09799999999996
CHEMBL103460,C6H16Br2N2O2Pt,5.33,6,16,2,2,0,0,2,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,503.09799999999996
CHEMBL103460,C6H16Br2N2O2Pt,5.68,6,16,2,2,0,0,2,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,503.09799999999996
CHEMBL103460,C6H16Br2N2O2Pt,5.77,6,16,2,2,0,0,2,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,503.09799999999996
CHEMBL103460,C6H16Br2N2O2Pt,5.8,6,16,2,2,0,0,2,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,503.09799999999996
CHEMBL103460,C6H16Br2N2O2Pt,5.55,6,16,2,2,0,0,2,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,503.09799999999996
CHEMBL103460,C6H16Br2N2O2Pt,5.85,6,16,2,2,0,0,2,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,503.09799999999996
CHEMBL103460,C6H16Br2N2O2Pt,5.44,6,16,2,2,0,0,2,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,503.09799999999996
CHEMBL103570,C6H16Cl2N2O2Pt,5.36,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,5.22,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,5.89,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,5.85,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,5.96,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,5.68,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
CHEMBL103570,C6H16Cl2N2O2Pt,6.38,6,16,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,0.0,0.3333333333333333,0.3333333333333333,414.18999999999994
