chembl_id,chemical_formula,pIC50,count_C,count_H,count_N,count_O,count_S,count_Cl,count_Br,count_F,count_I,metal_mass,metal_ionic_radius,metal_electronegativity,expected_coordination_num,is_Ruthenium,is_Rhodium,is_Platinum,unsaturation_index,N_C_ratio,O_C_ratio,calculated_molecular_weight
CHEMBL1202385,C15H16Cl2N4OPt+2,4.96,15,16,4,1,0,2,0,0,0,195.084,80,2.28,4,0,0,1,10.0,0.2666666666666666,0.0666666666666666,534.3040000000001
CHEMBL1202524,C20H53AuClF6P5,4.77,20,53,0,0,0,1,0,6,0,196.967,137,2.54,2,0,0,0,-5.5,0.0,0.0,640.049
CHEMBL12237,C26H36Cl2N3Rh+,7.14,26,36,3,0,0,2,0,0,0,102.906,65,2.28,6,0,1,0,10.5,0.1153846153846153,0.0,564.4010000000001
CHEMBL12351,C36H52Cl6N6Ru2+4,7.75,36,52,6,0,0,6,0,0,0,101.07,74,2.2,6,1,0,0,14.0,0.1666666666666666,0.0,983.694
CHEMBL13012,C22H18ClN3OPtS+3,5.0,22,18,3,1,1,1,0,0,0,195.084,80,2.28,4,0,0,1,15.5,0.1363636363636363,0.0454545454545454,603.0
CHEMBL1320030,C8H12N2O4Pt,4.85,8,12,2,4,0,0,0,0,0,195.084,80,2.28,4,0,0,1,4.0,0.25,0.5,395.278
CHEMBL1332921,C12H20N2NiO6,6.0,12,20,2,6,0,0,0,0,0,58.693,69,1.91,4,0,0,0,4.0,0.1666666666666666,0.5,346.993
CHEMBL1334965,C10H22Cl6N2O2Pt,5.5,10,22,2,2,0,6,0,0,0,195.084,80,2.28,4,0,0,1,1.0,0.2,0.2,610.082
CHEMBL13382,C21H15ClN4O2PtS+3,4.89,21,15,4,2,1,1,0,0,0,195.084,80,2.28,4,0,0,1,16.5,0.1904761904761904,0.0952380952380952,617.971
CHEMBL1341902,C22H28FeN2,4.55,22,28,2,0,0,0,0,0,0,55.845,61,1.83,6,0,0,0,10.0,0.0909090909090909,0.0,376.325
CHEMBL13457,C13H18Cl2N4OPt-,4.37,13,18,4,1,0,2,0,0,0,195.084,80,2.28,4,0,0,1,7.0,0.3076923076923077,0.0769230769230769,512.298
CHEMBL134606,C13H13AuN2O2,6.68,13,13,2,2,0,0,0,0,0,196.967,137,2.54,2,0,0,0,8.5,0.1538461538461538,0.1538461538461538,426.226
CHEMBL1351,C6H12N2O4Pt,5.52,6,12,2,4,0,0,0,0,0,195.084,80,2.28,4,0,0,1,2.0,0.3333333333333333,0.6666666666666666,371.256
CHEMBL135367,C14H15AuN2O2,7.38,14,15,2,2,0,0,0,0,0,196.967,137,2.54,2,0,0,0,8.5,0.1428571428571428,0.1428571428571428,440.253
CHEMBL1359148,C6H11AuO5S,4.73,6,11,0,5,1,0,0,0,0,196.967,137,2.54,2,0,0,0,1.5,0.0,0.8333333333333334,392.176
CHEMBL13655,C25H18ClN3PtS+3,5.3,25,18,3,0,1,1,0,0,0,195.084,80,2.28,4,0,0,1,18.5,0.12,0.0,623.0339999999999
CHEMBL1366,C20H34AuO9PS,5.77,20,34,0,9,1,0,0,0,0,196.967,137,2.54,2,0,0,0,4.0,0.0,0.45,647.51
CHEMBL13704,C13H18Cl2N4Pt-,5.05,13,18,4,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,7.0,0.3076923076923077,0.0,496.299
CHEMBL13744,C12H10Cl2Pt,4.64,12,10,0,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,8.0,0.0,0.0,420.196
CHEMBL137784,C20H29ClN3OReS2+,8.07,20,29,3,1,2,1,0,0,0,186.207,63,1.9,6,0,0,0,8.0,0.15,0.05,613.249
CHEMBL1381931,C45H36FeN2,4.21,45,36,2,0,0,0,0,0,0,55.845,61,1.83,6,0,0,0,29.0,0.0444444444444444,0.0,660.642
CHEMBL1395457,C38H30Au2N8P2-4,5.8,38,30,8,0,0,0,0,0,0,196.967,137,2.54,2,0,0,0,28.0,0.2105263157894736,0.0,992.648
CHEMBL1395758,C12H14Cl4N2O2Pt-2,5.4,12,14,2,2,0,4,0,0,0,195.084,80,2.28,4,0,0,1,7.0,0.1666666666666666,0.1666666666666666,555.1400000000001
CHEMBL1396916,C26H28ClN4O4PRh-7,5.8,26,28,4,4,0,1,0,0,0,102.906,65,2.28,6,0,1,0,15.0,0.1538461538461538,0.1538461538461538,598.8900000000001
