chembl_id,chemical_formula,target_name,pIC50,canonical_smiles,pref_name
CHEMBL108133,C6H22Cl2N6Pt2+2,CH1,6.26,,trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-trans-{PtCl(NH3)2}]
CHEMBL108133,C6H22Cl2N6Pt2+2,SK-OV-3,4.4399999999999995,,trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-trans-{PtCl(NH3)2}]
CHEMBL111089,C6H20Cl3N5Pt2,41M,5.755,,trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-cis-{PtCl2(NH3)}]Cl
CHEMBL111089,C6H20Cl3N5Pt2,A2780,6.51,,trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-cis-{PtCl2(NH3)}]Cl
CHEMBL111089,C6H20Cl3N5Pt2,CH1,6.265,,trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-cis-{PtCl2(NH3)}]Cl
CHEMBL111089,C6H20Cl3N5Pt2,SK-OV-3,4.63,,trans-[{PtCl(NH3)2}-mu-{NH2(CH2)6NH2}-cis-{PtCl2(NH3)}]Cl
CHEMBL1169454,C36H30N4O8Pt+2,A2780,6.275,,"Platinum cyclobutane-1,1-dicarboxylic acid-bis-(naphthalimide) complex"
CHEMBL1169454,C36H30N4O8Pt+2,CH1,6.34,,"Platinum cyclobutane-1,1-dicarboxylic acid-bis-(naphthalimide) complex"
CHEMBL118385,C12H8AuCl2N2+2,A2780,5.4399999999999995,,AUPHEN
CHEMBL1351,C6H12N2O4Pt,A2780,5.09,,CARBOPLATIN
CHEMBL1351,C6H12N2O4Pt,CH1,5.215,,CARBOPLATIN
CHEMBL1351,C6H12N2O4Pt,SK-OV-3,4.7,,CARBOPLATIN
CHEMBL146966,C11H12AuN3S2+,A2780,5.140000000000001,,"Bis(thiocyanato)[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL146966,C11H12AuN3S2+,CH1,4.98,,"Bis(thiocyanato)[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL146966,C11H12AuN3S2+,SK-OV-3,4.555,,"Bis(thiocyanato)[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL147203,C10H21N3O8P2Pt+,CH1,4.485,,Platinum complex
CHEMBL148800,C10H16Cl2N3Pt+,41M,4.35,,trans-ptcl2(picoline)(pz)
CHEMBL148800,C10H16Cl2N3Pt+,A2780,5.0,,trans-ptcl2(picoline)(pz)
CHEMBL148800,C10H16Cl2N3Pt+,CH1,4.59,,trans-ptcl2(picoline)(pz)
CHEMBL149255,C11H12AuNO4+,A2780,4.945,,"Oxalato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III) Hemihydrate"
CHEMBL149255,C11H12AuNO4+,CH1,4.925,,"Oxalato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III) Hemihydrate"
CHEMBL149255,C11H12AuNO4+,SK-OV-3,4.6899999999999995,,"Oxalato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III) Hemihydrate"
CHEMBL150105,C13H18AuNO4+,A2780,4.96,,"Acetato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL150105,C13H18AuNO4+,CH1,4.9399999999999995,,"Acetato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL150105,C13H18AuNO4+,SK-OV-3,4.89,,"Acetato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III)"
CHEMBL1627729,C33H50Cl2N2O3Pt,A2780,5.23,,Estrogen platinum (II) hybrid derivative
CHEMBL1627731,C35H54Cl2N2O3Pt,A2780,5.0,,Estrogen platinum (II) hybrid derivative
