chembl_id,chemical_formula,target_name,pIC50,canonical_smiles
CHEMBL196628,C14H16N2O4Pt,41M,4.85,
CHEMBL196628,C14H16N2O4Pt,A2780,4.89,
CHEMBL196628,C14H16N2O4Pt,CH1,4.72,
CHEMBL2068288,C12H20N2O5Pt,SK-OV-3,4.2,
CHEMBL2068310,C8H20Cl4N2O2Pt,A2780,5.66,
CHEMBL2068310,C8H20Cl4N2O2Pt,SK-OV-3,5.4,
CHEMBL2068312,C8H16Cl2N2O5Pt,A2780,5.55,
CHEMBL2068312,C8H16Cl2N2O5Pt,SK-OV-3,4.62,
CHEMBL2068314,C8H16Cl2N2O6Pt,SK-OV-3,5.0,
CHEMBL2068316,C6H16Cl4N2O2Pt,A2780,5.8,
CHEMBL2068316,C6H16Cl4N2O2Pt,SK-OV-3,5.0,
CHEMBL2068372,C7H17Cl2N3Pt,41M,4.42,
CHEMBL2068372,C7H17Cl2N3Pt,A2780,4.85,
CHEMBL2068372,C7H17Cl2N3Pt,CH1,4.65,
CHEMBL2068376,C8H19Cl2N3Pt,41M,4.41,
CHEMBL2068376,C8H19Cl2N3Pt,A2780,4.8,
CHEMBL2068376,C8H19Cl2N3Pt,CH1,4.744999999999999,
CHEMBL2068447,C14H24N2O5Pt,SK-OV-3,4.11,
CHEMBL2068449,C14H20N2O5Pt,SK-OV-3,4.38,
CHEMBL2068452,C8H20Cl2N2O2Pt,SK-OV-3,4.64,
CHEMBL2068454,C6H16Cl2N2O2Pt,SK-OV-3,4.7,
CHEMBL2068458,C10H20Cl2N2O6Pt,SK-OV-3,4.66,
CHEMBL2068480,C8H18Cl2N4Pt,41M,4.37,
CHEMBL2068480,C8H18Cl2N4Pt,A2780,4.77,
CHEMBL2068480,C8H18Cl2N4Pt,CH1,4.43,
CHEMBL2068496,C9H19Cl2N3Pt,41M,4.43,
CHEMBL2068496,C9H19Cl2N3Pt,A2780,4.75,
CHEMBL2068496,C9H19Cl2N3Pt,CH1,4.365,
CHEMBL2068551,C8H12N2O5Pt,SK-OV-3,4.39,
CHEMBL2068563,C10H16N2O5Pt,SK-OV-3,4.43,
CHEMBL213916,C50H42N18O18Pt3+10,A2780,5.734999999999999,
CHEMBL213916,C50H42N18O18Pt3+10,CH1,5.85,
CHEMBL213916,C50H42N18O18Pt3+10,SK-OV-3,5.29,
CHEMBL2146185,C15H11B2ClF8N3Pt-,A2780,4.35,
CHEMBL2146185,C15H11B2ClF8N3Pt-,CH1,5.19,
CHEMBL2146185,C15H11B2ClF8N3Pt-,SK-OV-3,4.71,
CHEMBL2146195,C30H26Cl2N4O4Pt,A2780,6.35,
CHEMBL2146195,C30H26Cl2N4O4Pt,CH1,6.46,
CHEMBL2146196,C8H16Cl2N2O2Pt,SK-OV-3,5.11,
CHEMBL217343,C42H32B4F16N8Pt2+8,A2780,5.71,
CHEMBL217343,C42H32B4F16N8Pt2+8,CH1,5.87,
CHEMBL217343,C42H32B4F16N8Pt2+8,SK-OV-3,5.89,
CHEMBL217630,C48H46B4F16N12O2Pt2+8,A2780,4.5600000000000005,
CHEMBL217630,C48H46B4F16N12O2Pt2+8,CH1,4.38,
CHEMBL217630,C48H46B4F16N12O2Pt2+8,SK-OV-3,4.01,
CHEMBL262033,C44H30N12O12Pt2+8,A2780,5.725,
CHEMBL262033,C44H30N12O12Pt2+8,CH1,6.14,
CHEMBL262033,C44H30N12O12Pt2+8,SK-OV-3,5.77,
CHEMBL264844,C56H36Cl2N12O12Pt2+8,A2780,4.985,
CHEMBL264844,C56H36Cl2N12O12Pt2+8,CH1,5.555,
CHEMBL264844,C56H36Cl2N12O12Pt2+8,SK-OV-3,5.66,
CHEMBL265995,C40H30N12O12Pt2+8,A2780,5.02,
CHEMBL265995,C40H30N12O12Pt2+8,CH1,5.81,
CHEMBL265995,C40H30N12O12Pt2+8,SK-OV-3,5.51,
CHEMBL266168,C23H21B2F8N5Pt+4,A2780,4.23,
CHEMBL266168,C23H21B2F8N5Pt+4,CH1,4.87,
CHEMBL266168,C23H21B2F8N5Pt+4,SK-OV-3,4.1,
CHEMBL266471,C27H21B2BrF8N4Pt+4,A2780,4.470000000000001,
CHEMBL266471,C27H21B2BrF8N4Pt+4,CH1,5.3,
CHEMBL266733,C22H18B2F8N4OPt+4,A2780,5.175000000000001,
CHEMBL266733,C22H18B2F8N4OPt+4,CH1,5.66,
CHEMBL266733,C22H18B2F8N4OPt+4,SK-OV-3,4.96,
CHEMBL267638,C21H20B2F8N6Pt+4,A2780,4.48,
CHEMBL267638,C21H20B2F8N6Pt+4,CH1,4.515000000000001,
CHEMBL267704,C20H15B2F9N4Pt+4,A2780,4.67,
CHEMBL267704,C20H15B2F9N4Pt+4,CH1,4.85,
CHEMBL268353,C18H14B2F8N4PtS+4,A2780,4.73,
CHEMBL268353,C18H14B2F8N4PtS+4,CH1,4.77,
CHEMBL269099,C21H17B2ClF8N4Pt+4,A2780,4.84,
CHEMBL269099,C21H17B2ClF8N4Pt+4,CH1,5.2,
CHEMBL269099,C21H17B2ClF8N4Pt+4,SK-OV-3,5.25,
CHEMBL269100,C22H20B2F8N4OPt+4,A2780,4.3100000000000005,
CHEMBL269100,C22H20B2F8N4OPt+4,CH1,4.81,
CHEMBL269100,C22H20B2F8N4OPt+4,SK-OV-3,4.35,
CHEMBL295047,C23H20Cl3N8O6Ru-,A2780,4.965,
CHEMBL295087,C19H18AuF6N2OP+,A2780,5.285,
CHEMBL295087,C19H18AuF6N2OP+,SK-OV-3,4.88,
CHEMBL295522,C10H10AuF6N2O2P+,A2780,4.84,
CHEMBL295522,C10H10AuF6N2O2P+,SK-OV-3,4.46,
CHEMBL298410,C23H20Cl5N6Ru+3,A2780,5.47,
CHEMBL300621,C24H19N6O4Ru+3,A2780,5.2,
CHEMBL308963,C10H20O2PtS4,SK-OV-3,4.265000000000001,
CHEMBL309353,C14H24O2PtS4,SK-OV-3,4.984999999999999,
CHEMBL3142753,C17H28Cl2N5O10PPt,A2780,4.8,
CHEMBL3142753,C17H28Cl2N5O10PPt,SK-OV-3,4.12,
CHEMBL3142754,C42H50Cl2N5O14PPt,A2780,5.4,
CHEMBL3142754,C42H50Cl2N5O14PPt,SK-OV-3,4.62,
CHEMBL317255,C7H16Cl2N2Pt,A2780,4.58,
CHEMBL319263,C8H22Cl2N2O2Pt,41M,6.16,
CHEMBL319263,C8H22Cl2N2O2Pt,A2780,6.03,
CHEMBL319263,C8H22Cl2N2O2Pt,CH1,6.35,
CHEMBL319263,C8H22Cl2N2O2Pt,SK-OV-3,5.75,
CHEMBL319686,C12H26Cl2N2O2Pt,41M,6.01,
CHEMBL319686,C12H26Cl2N2O2Pt,A2780,5.8,
CHEMBL319686,C12H26Cl2N2O2Pt,CH1,6.24,
CHEMBL319686,C12H26Cl2N2O2Pt,SK-OV-3,5.6,
CHEMBL320447,C7H16Cl2N2Pt,41M,5.695,
CHEMBL320447,C7H16Cl2N2Pt,A2780,5.615,
CHEMBL320447,C7H16Cl2N2Pt,CH1,5.35,
CHEMBL320447,C7H16Cl2N2Pt,SK-OV-3,5.0,
CHEMBL320638,C10H22Cl2N2Pt,41M,6.115,
CHEMBL320638,C10H22Cl2N2Pt,A2780,6.125,
CHEMBL320638,C10H22Cl2N2Pt,CH1,6.525,
CHEMBL320638,C10H22Cl2N2Pt,SK-OV-3,5.82,
CHEMBL321706,C17H14B2F8N4Pt+4,A2780,4.15,
CHEMBL321706,C17H14B2F8N4Pt+4,CH1,4.75,
CHEMBL322013,C7H18Cl2N2O2Pt,41M,5.869999999999999,
CHEMBL322013,C7H18Cl2N2O2Pt,A2780,5.904999999999999,
CHEMBL322013,C7H18Cl2N2O2Pt,CH1,5.865,
CHEMBL322013,C7H18Cl2N2O2Pt,SK-OV-3,5.41,
CHEMBL322197,C7H16Cl4N2Pt,41M,4.79,
CHEMBL322197,C7H16Cl4N2Pt,A2780,4.824999999999999,
CHEMBL322197,C7H16Cl4N2Pt,CH1,4.81,
CHEMBL322197,C7H16Cl4N2Pt,SK-OV-3,4.54,
CHEMBL323516,C12H26Cl2N4O4Pt,41M,5.29,
CHEMBL323516,C12H26Cl2N4O4Pt,A2780,5.234999999999999,
CHEMBL323516,C12H26Cl2N4O4Pt,CH1,5.295,
CHEMBL323516,C12H26Cl2N4O4Pt,SK-OV-3,4.72,
CHEMBL324865,C18H14B2F8N5Pt+3,A2780,4.77,
CHEMBL324865,C18H14B2F8N5Pt+3,CH1,4.81,
CHEMBL326518,C15H11AuClN3+3,A2780,6.5649999999999995,
CHEMBL332792,C10H20AuN4,A2780,4.0,
CHEMBL347085,C12H14AuNO4+,A2780,5.1850000000000005,
CHEMBL347085,C12H14AuNO4+,CH1,5.525,
CHEMBL347085,C12H14AuNO4+,SK-OV-3,4.74,
CHEMBL34868,C7H10Cl2N2Pt+2,A2780,5.16,
CHEMBL358664,C9H12AuCl2N+,A2780,4.71,
CHEMBL358664,C9H12AuCl2N+,CH1,4.775,
CHEMBL358664,C9H12AuCl2N+,SK-OV-3,4.35,
CHEMBL365925,C28H20Cl2N8Ru+,SK-OV-3,6.2,
CHEMBL368464,C16H22ClF6N2PRu,A2780,5.22,
CHEMBL368607,C9H16N2O4Pt+2,A2780,5.64,
CHEMBL368608,C12H20N2O4Pt+2,A2780,5.43,
CHEMBL370881,C13H16N2O4Pt,41M,4.66,
CHEMBL370881,C13H16N2O4Pt,A2780,4.89,
CHEMBL370881,C13H16N2O4Pt,CH1,4.7,
CHEMBL371997,C7H5Cl5N2Ru-2,SK-OV-3,4.46,
CHEMBL385413,C40H28Cl2N12O12Pt2+8,A2780,4.73,
CHEMBL385413,C40H28Cl2N12O12Pt2+8,CH1,6.16,
CHEMBL385413,C40H28Cl2N12O12Pt2+8,SK-OV-3,5.89,
CHEMBL405707,C42H32N12O12Pt2+8,A2780,4.96,
CHEMBL405707,C42H32N12O12Pt2+8,CH1,5.69,
CHEMBL405707,C42H32N12O12Pt2+8,SK-OV-3,5.46,
CHEMBL407341,C44H28Cl2N12O12Pt2+8,A2780,6.1899999999999995,
CHEMBL407341,C44H28Cl2N12O12Pt2+8,CH1,5.824999999999999,
CHEMBL407341,C44H28Cl2N12O12Pt2+8,SK-OV-3,5.85,
CHEMBL410609,C50H32Cl2N12O12Pt2+8,A2780,5.25,
CHEMBL410609,C50H32Cl2N12O12Pt2+8,CH1,5.67,
CHEMBL410609,C50H32Cl2N12O12Pt2+8,SK-OV-3,5.75,
CHEMBL413296,C14H28O2PtS4,SK-OV-3,4.609999999999999,
CHEMBL414155,C50H50B4F16N12O2Pt2+8,A2780,4.875,
CHEMBL414155,C50H50B4F16N12O2Pt2+8,CH1,4.32,
CHEMBL414804,C8H12N2O4Pt,A2780,5.18,
CHEMBL414804,C8H12N2O4Pt,CH1,6.57,
CHEMBL415294,C20H16B2F8N4Pt+4,A2780,4.4,
CHEMBL415294,C20H16B2F8N4Pt+4,CH1,4.76,
CHEMBL415294,C20H16B2F8N4Pt+4,SK-OV-3,4.62,
CHEMBL415807,C50H40Cl2N18O18Pt3+10,A2780,4.78,
CHEMBL415807,C50H40Cl2N18O18Pt3+10,CH1,6.26,
CHEMBL415807,C50H40Cl2N18O18Pt3+10,SK-OV-3,5.77,
CHEMBL419256,C8H16O2PtS4,SK-OV-3,4.665,
CHEMBL427115,C8H14F6IN2PRu,A2780,4.7,
CHEMBL430691,C6H14Cl4N2Pt,41M,5.449999999999999,
CHEMBL430691,C6H14Cl4N2Pt,A2780,5.550000000000001,
CHEMBL430691,C6H14Cl4N2Pt,CH1,5.37,
CHEMBL430691,C6H14Cl4N2Pt,SK-OV-3,5.03,
CHEMBL432005,C10H20Cl2N2O4Pt,41M,5.904999999999999,
CHEMBL432005,C10H20Cl2N2O4Pt,A2780,6.02,
CHEMBL432005,C10H20Cl2N2O4Pt,CH1,5.890000000000001,
CHEMBL432005,C10H20Cl2N2O4Pt,SK-OV-3,5.32,
CHEMBL435547,C9H14N2O4Pt,A2780,5.36,
CHEMBL441330,C24H25B2F8N5OPt+4,A2780,4.4,
CHEMBL441330,C24H25B2F8N5OPt+4,CH1,4.76,
CHEMBL447841,C12H24O2PtS4,SK-OV-3,4.65,
CHEMBL48208,C28H25N6O4Ru+3,A2780,5.225,
CHEMBL49397,C24H18N6O6Ru-2,A2780,5.135,
CHEMBL49677,C24H18Cl2N4Ru+2,A2780,6.04,
CHEMBL49789,C25H21N6O4Ru+3,A2780,5.154999999999999,
CHEMBL611723,C15H16B2F8N3OPt+,A2780,5.109999999999999,
CHEMBL611723,C15H16B2F8N3OPt+,CH1,4.85,
CHEMBL611723,C15H16B2F8N3OPt+,SK-OV-3,5.04,
