iter	RMSE
0	1.100054455
1	1.094153437
2	1.087485679
3	1.08204124
4	1.076601123
5	1.071908964
6	1.067336934
7	1.063049472
8	1.05894149
9	1.055075346
10	1.05166916
11	1.04835434
12	1.044742931
13	1.04185561
14	1.038837335
15	1.036173181
16	1.033448572
17	1.030952681
18	1.028688095
19	1.026313681
20	1.024187054
21	1.021774412
22	1.019540611
23	1.017310547
24	1.015494118
25	1.013499592
26	1.011617208
27	1.00986402
28	1.008042851
29	1.006478244
30	1.004568007
31	1.002758129
32	1.001357794
33	0.9994921099
34	0.9976538849
35	0.9962422772
36	0.9946128615
37	0.9931476559
38	0.9914568084
39	0.9900503218
40	0.9884699658
41	0.9869924421
42	0.9856350357
43	0.9842885816
44	0.9830105978
45	0.9815431447
46	0.9800466686
47	0.9789541178
48	0.9776815346
49	0.9763432281
50	0.9753047401
51	0.9743655819
52	0.9733592336
53	0.9718546158
54	0.970707065
55	0.9693961181
56	0.9684296657
57	0.9671834511
58	0.9660045444
59	0.9647834931
60	0.9636513648
61	0.9626228214
62	0.9616038511
63	0.9605371853
64	0.9592498542
65	0.9580608467
66	0.9571441772
67	0.9563042814
68	0.955160092
69	0.9538806839
70	0.9529337646
71	0.9516635746
72	0.9508629742
73	0.9497734907
74	0.9489684212
75	0.9482431024
76	0.9474745965
77	0.9467836371
78	0.9457848624
79	0.9447032919
80	0.9438495391
81	0.9431137024
82	0.9423722492
83	0.9413863558
84	0.9406665873
85	0.9398393212
86	0.9391114636
87	0.9383580702
88	0.9376792468
89	0.9367310852
90	0.935886621
91	0.9351380087
92	0.9343453797
93	0.9336264516
94	0.9328385219
95	0.9322702762
96	0.9315662327
97	0.9307712945
98	0.9301155587
99	0.9291900171
100	0.9285439374
101	0.9276500582
102	0.9269183632
103	0.9260311296
104	0.9252851536
105	0.924471095
106	0.9237935259
107	0.9229951238
108	0.9223287789
109	0.9214075002
110	0.920743659
111	0.920245351
112	0.9193895377
113	0.9186958801
114	0.9182775618
115	0.9177153236
116	0.9171853627
117	0.9167135964
118	0.9160531757
119	0.9152790974
120	0.9146272422
121	0.9141321879
122	0.9133138007
123	0.9125459929
124	0.9118224099
125	0.9112409115
126	0.9104153463
127	0.9096966421
128	0.9091535236
129	0.9083721994
130	0.9074856555
131	0.9069285179
132	0.9064089626
133	0.9058257075
134	0.9052921086
135	0.9044851223
136	0.9038489979
137	0.9031361928
138	0.9027514784
139	0.9022993914
140	0.9014538096
141	0.9008476684
142	0.9000630075
143	0.8996512237
144	0.8992133666
145	0.8986066419
146	0.8981708532
147	0.8976077777
148	0.8971727278
149	0.8967059967
150	0.8960181438
151	0.8956379905
152	0.8952342391
153	0.8946589509
154	0.89400297
155	0.8935292411
156	0.8929696626
157	0.892353149
158	0.8917650762
159	0.8913069895
160	0.8906415181
161	0.8902363714
162	0.889803491
163	0.8893470702
164	0.8887880459
165	0.8883156668
166	0.8877737839
167	0.8870985954
168	0.8865249584
169	0.8861528054
170	0.8857720381
171	0.8853354186
172	0.8849870607
173	0.8844561823
174	0.8838936273
175	0.8833104819
176	0.8827845359
177	0.8823659464
178	0.8816551668
179	0.8812950115
180	0.8806945989
181	0.8802950172
182	0.8799013469
183	0.8794766139
184	0.8787217048
185	0.8782098977
186	0.8777148532
187	0.8770376289
188	0.8766059605
189	0.8761097869
190	0.8756729342
191	0.8751671584
192	0.8745893147
193	0.8740522582
194	0.8735913532
195	0.8728569289
196	0.8723588999
197	0.8717517855
198	0.8712849464
199	0.8706756515
200	0.8703477836
201	0.8698962798
202	0.8694541224
203	0.8688951827
204	0.8684557374
205	0.8679185492
206	0.8674875537
207	0.8669896987
208	0.8662397427
209	0.865856989
210	0.8653601123
211	0.8646810617
212	0.8643000537
213	0.8636730631
214	0.8630292598
215	0.8625862293
216	0.8621201132
217	0.8615498096
218	0.8610850554
219	0.8605504173
220	0.8598814671
221	0.8593855383
222	0.858922056
223	0.8583379922
224	0.857725403
225	0.8573089398
226	0.8567620619
227	0.856323439
228	0.8558830352
229	0.8554382006
230	0.8549758399
231	0.8543806649
232	0.8537509345
233	0.8533350542
234	0.852905962
235	0.8524414455
236	0.8520770018
237	0.8516492642
238	0.8511943734
239	0.8506889457
240	0.8502029065
241	0.8494609036
242	0.8489176551
243	0.8485157741
244	0.8481085232
245	0.8474809312
246	0.8469571892
247	0.8463450378
248	0.8457981216
249	0.8453049191
250	0.8447235716
251	0.8442577988
252	0.8437967146
253	0.8433787317
254	0.8429212086
255	0.8424431679
256	0.8419168864
257	0.8414262793
258	0.8409227975
259	0.8403470147
260	0.839810173
261	0.8393798966
262	0.8388496283
263	0.8382951513
264	0.8378095632
265	0.8372582313
266	0.8367871509
267	0.8362403031
268	0.8358123727
269	0.8354346033
270	0.8349819461
271	0.8344998136
272	0.8340185449
273	0.8335551515
274	0.8330043984
275	0.8325277297
276	0.832113651
277	0.8317177246
278	0.8313348011
279	0.8309393294
280	0.8306227049
281	0.8301910359
282	0.8296775755
283	0.8292917229
284	0.828815884
285	0.8283180109
286	0.8279793315
287	0.8274862227
288	0.8270347118
289	0.8263633839
290	0.825981949
291	0.8256541853
292	0.8251466862
293	0.8247492343
294	0.8244133879
295	0.8239747493
296	0.8235097539
297	0.8231493356
298	0.8228184009
299	0.8224807649
